"filename", "language", "Rust", "comment", "blank", "total"
"d:\programs\rust\rust-blockchain-exercise\src\core\block.rs", "Rust", 37, 10, 9, 56
"d:\programs\rust\rust-blockchain-exercise\src\utils\serialization.rs", "Rust", 10, 0, 2, 12
"d:\programs\rust\rust-blockchain-exercise\src\utils\serialize.rs", "Rust", -10, 0, -2, -12
"Total", "-", 37, 10, 9, 56
